timestamp,acc_mag,heart_rate
2025-10-17T13:11:58+09:00,0.99,94.0
2025-10-17T13:11:59+09:00,0.98,94.0
2025-10-17T13:12:00+09:00,0.98,94.0
2025-10-17T13:12:01+09:00,0.99,93.0
2025-10-17T13:12:02+09:00,0.98,93.0
2025-10-17T13:12:03+09:00,0.99,93.0
2025-10-17T13:12:04+09:00,0.98,93.0
2025-10-17T13:12:05+09:00,0.99,93.0
2025-10-17T13:12:06+09:00,0.99,92.0
2025-10-17T13:12:07+09:00,0.99,92.0
2025-10-17T13:12:08+09:00,0.99,92.0
2025-10-17T13:12:09+09:00,0.99,92.0
2025-10-17T13:12:10+09:00,0.99,92.0
2025-10-17T13:12:11+09:00,0.99,92.0
2025-10-17T13:12:12+09:00,0.98,92.0
2025-10-17T13:12:13+09:00,0.98,93.0
2025-10-17T13:12:14+09:00,0.98,93.0
2025-10-17T13:12:15+09:00,0.98,93.0
2025-10-17T13:12:16+09:00,1.0,93.0
2025-10-17T13:12:17+09:00,1.01,93.0
2025-10-17T13:12:18+09:00,0.99,93.0
2025-10-17T13:12:19+09:00,0.98,93.0
2025-10-17T13:12:20+09:00,0.99,92.0
2025-10-17T13:12:21+09:00,0.99,92.0
2025-10-17T13:12:22+09:00,0.99,91.0
2025-10-17T13:12:23+09:00,0.99,90.0
2025-10-17T13:12:24+09:00,0.99,89.0
2025-10-17T13:12:25+09:00,0.99,89.0
2025-10-17T13:12:26+09:00,0.99,88.0
2025-10-17T13:12:27+09:00,0.99,88.0
2025-10-17T13:12:28+09:00,0.99,87.0
2025-10-17T13:12:29+09:00,0.99,87.0
2025-10-17T13:12:30+09:00,0.99,87.0
2025-10-17T13:12:31+09:00,0.99,87.0
2025-10-17T13:12:32+09:00,0.99,87.0
2025-10-17T13:12:33+09:00,0.99,88.0
2025-10-17T13:12:34+09:00,0.99,88.0
2025-10-17T13:12:35+09:00,0.99,88.0
2025-10-17T13:12:36+09:00,0.99,88.0
2025-10-17T13:12:37+09:00,0.99,87.0
2025-10-17T13:12:38+09:00,0.99,87.0
2025-10-17T13:12:39+09:00,0.99,87.0
2025-10-17T13:12:40+09:00,0.99,88.0
2025-10-17T13:12:41+09:00,0.99,88.0
2025-10-17T13:12:42+09:00,0.99,88.0
2025-10-17T13:12:43+09:00,0.99,88.0
2025-10-17T13:12:44+09:00,0.99,88.0
2025-10-17T13:12:45+09:00,0.99,88.0
2025-10-17T13:12:46+09:00,0.99,88.0
2025-10-17T13:12:47+09:00,0.99,88.0
2025-10-17T13:12:48+09:00,0.99,88.0
2025-10-17T13:12:49+09:00,0.99,88.0
2025-10-17T13:12:50+09:00,0.99,89.0
2025-10-17T13:12:51+09:00,0.99,89.0
2025-10-17T13:12:52+09:00,0.99,89.0
2025-10-17T13:12:53+09:00,0.99,89.0
2025-10-17T13:12:54+09:00,0.99,89.0
2025-10-17T13:12:55+09:00,0.99,89.0
2025-10-17T13:12:56+09:00,0.99,89.0
2025-10-17T13:12:57+09:00,0.99,89.0
2025-10-17T13:12:58+09:00,0.99,88.0
2025-10-17T13:12:59+09:00,0.99,89.0
2025-10-17T13:13:00+09:00,0.99,89.0
2025-10-17T13:13:01+09:00,0.99,89.0
2025-10-17T13:13:02+09:00,0.99,89.0
2025-10-17T13:13:03+09:00,0.99,89.0
2025-10-17T13:13:04+09:00,0.99,89.0
2025-10-17T13:13:05+09:00,0.99,88.0
2025-10-17T13:13:06+09:00,0.99,88.0
2025-10-17T13:13:07+09:00,0.99,89.0
2025-10-17T13:13:08+09:00,0.99,89.0
2025-10-17T13:13:09+09:00,0.99,89.0
2025-10-17T13:13:10+09:00,0.99,90.0
2025-10-17T13:13:11+09:00,0.99,90.0
2025-10-17T13:13:12+09:00,0.99,90.0
2025-10-17T13:13:13+09:00,0.99,90.0
2025-10-17T13:13:14+09:00,0.98,90.0
2025-10-17T13:13:15+09:00,0.98,90.0
2025-10-17T13:13:16+09:00,0.98,90.0
2025-10-17T13:13:17+09:00,0.98,90.0
2025-10-17T13:13:18+09:00,0.99,90.0
2025-10-17T13:13:19+09:00,0.99,90.0
2025-10-17T13:13:20+09:00,0.99,90.0
2025-10-17T13:13:21+09:00,0.99,90.0
2025-10-17T13:13:22+09:00,0.99,90.0
2025-10-17T13:13:23+09:00,0.99,90.0
2025-10-17T13:13:24+09:00,0.98,91.0
2025-10-17T13:13:25+09:00,0.98,91.0
2025-10-17T13:13:26+09:00,0.99,92.0
2025-10-17T13:13:27+09:00,0.99,92.0
2025-10-17T13:13:28+09:00,0.99,92.0
2025-10-17T13:13:29+09:00,0.99,91.0
2025-10-17T13:13:30+09:00,0.99,90.0
2025-10-17T13:13:31+09:00,0.99,89.0
2025-10-17T13:13:32+09:00,0.98,88.0
2025-10-17T13:13:33+09:00,0.98,89.0
2025-10-17T13:13:34+09:00,0.99,89.0
2025-10-17T13:13:35+09:00,0.99,89.0
2025-10-17T13:13:36+09:00,0.99,89.0
2025-10-17T13:13:37+09:00,0.99,89.0
2025-10-17T13:13:38+09:00,1.0,89.0
2025-10-17T13:13:39+09:00,0.99,89.0
2025-10-17T13:13:40+09:00,0.99,89.0
2025-10-17T13:13:41+09:00,0.99,88.0
2025-10-17T13:13:42+09:00,0.98,88.0
2025-10-17T13:13:43+09:00,0.99,88.0
2025-10-17T13:13:44+09:00,0.99,87.0
2025-10-17T13:13:45+09:00,0.98,86.0
2025-10-17T13:13:46+09:00,0.99,85.0
2025-10-17T13:13:47+09:00,0.99,84.0
